time_period,state_fips,total_state_leg_count
2026,42,253
2025,42,253
2024,42,253
2023,42,253
2022,42,253
2021,42,253
2020,42,253
2019,42,253
2018,42,253
2017,42,253
2016,42,253
2015,42,253
2014,42,253
2013,42,253
2012,42,253
2011,42,253
2010,42,253
2009,42,253
2008,42,253
2007,42,253
2006,42,253
2005,42,253
2004,42,253
2003,42,253
2002,42,253
2001,42,253
2000,42,253
1999,42,253
1998,42,253
1997,42,253
1996,42,253
1995,42,253
1994,42,253
1993,42,253
1992,42,253
1991,42,253
1990,42,253
1989,42,253
1988,42,253
1987,42,253
1986,42,253
1985,42,253
1984,42,253
1983,42,253
1982,42,253
1981,42,253
1980,42,253
1979,42,253
1978,42,253
1977,42,253
1976,42,253
1975,42,253
