time_period,state_fips,total_state_leg_count
2026,24,188
2025,24,188
2024,24,188
2023,24,188
2022,24,188
2021,24,188
2020,24,188
2019,24,188
2018,24,188
2017,24,188
2016,24,188
2015,24,188
2014,24,188
2013,24,188
2012,24,188
2011,24,188
2010,24,188
2009,24,188
2008,24,188
2007,24,188
2006,24,188
2005,24,188
2004,24,188
2003,24,188
2002,24,188
2001,24,188
2000,24,188
1999,24,188
1998,24,188
1997,24,188
1996,24,188
1995,24,188
1994,24,188
1993,24,188
1992,24,188
1991,24,188
1990,24,188
1989,24,188
1988,24,188
1987,24,188
1986,24,188
1985,24,188
1984,24,188
1983,24,188
1982,24,188
1981,24,188
1980,24,188
1979,24,188
1978,24,188
1977,24,188
1976,24,188
1975,24,188
