time_period,state_fips,total_state_leg_count
2026,27,201
2025,27,201
2024,27,201
2023,27,201
2022,27,201
2021,27,201
2020,27,201
2019,27,201
2018,27,201
2017,27,201
2016,27,201
2015,27,201
2014,27,201
2013,27,201
2012,27,201
2011,27,201
2010,27,201
2009,27,201
2008,27,201
2007,27,201
2006,27,201
2005,27,201
2004,27,201
2003,27,201
2002,27,201
2001,27,201
2000,27,201
1999,27,201
1998,27,201
1997,27,201
1996,27,201
1995,27,201
1994,27,201
1993,27,201
1992,27,201
1991,27,201
1990,27,201
1989,27,201
1988,27,201
1987,27,201
1986,27,201
1985,27,201
1984,27,201
1983,27,201
1982,27,201
1981,27,201
1980,27,201
1979,27,201
1978,27,201
1977,27,201
1976,27,201
1975,27,201
