time_period,state_fips,total_state_leg_count
2026,06,120
2025,06,120
2024,06,120
2023,06,120
2022,06,120
2021,06,120
2020,06,120
2019,06,120
2018,06,120
2017,06,120
2016,06,120
2015,06,120
2014,06,120
2013,06,120
2012,06,120
2011,06,120
2010,06,120
2009,06,120
2008,06,120
2007,06,120
2006,06,120
2005,06,120
2004,06,120
2003,06,120
2002,06,120
2001,06,120
2000,06,120
1999,06,120
1998,06,120
1997,06,120
1996,06,120
1995,06,120
1994,06,120
1993,06,120
1992,06,120
1991,06,120
1990,06,120
1989,06,120
1988,06,120
1987,06,120
1986,06,120
1985,06,120
1984,06,120
1983,06,120
1982,06,120
1981,06,120
1980,06,120
1979,06,120
1978,06,120
1977,06,120
1976,06,120
1975,06,120
