time_period,state_fips,total_state_leg_count
2026,09,187
2025,09,187
2024,09,187
2023,09,187
2022,09,187
2021,09,187
2020,09,187
2019,09,187
2018,09,187
2017,09,187
2016,09,187
2015,09,187
2014,09,187
2013,09,187
2012,09,187
2011,09,187
2010,09,187
2009,09,187
2008,09,187
2007,09,187
2006,09,187
2005,09,187
2004,09,187
2003,09,187
2002,09,187
2001,09,187
2000,09,187
1999,09,187
1998,09,187
1997,09,187
1996,09,187
1995,09,187
1994,09,187
1993,09,187
1992,09,187
1991,09,187
1990,09,187
1989,09,187
1988,09,187
1987,09,187
1986,09,187
1985,09,187
1984,09,187
1983,09,187
1982,09,187
1981,09,187
1980,09,187
1979,09,187
1978,09,187
1977,09,187
1976,09,187
1975,09,187
