time_period,state_fips,total_state_leg_count
2026,53,147
2025,53,147
2024,53,147
2023,53,147
2022,53,147
2021,53,147
2020,53,147
2019,53,147
2018,53,147
2017,53,147
2016,53,147
2015,53,147
2014,53,147
2013,53,147
2012,53,147
2011,53,147
2010,53,147
2009,53,147
2008,53,147
2007,53,147
2006,53,147
2005,53,147
2004,53,147
2003,53,147
2002,53,147
2001,53,147
2000,53,147
1999,53,147
1998,53,147
1997,53,147
1996,53,147
1995,53,147
1994,53,147
1993,53,147
1992,53,147
1991,53,147
1990,53,147
1989,53,147
1988,53,147
1987,53,147
1986,53,147
1985,53,147
1984,53,147
1983,53,147
1982,53,147
1981,53,147
1980,53,147
1979,53,147
1978,53,147
1977,53,147
1976,53,147
1975,53,147
