time_period,state_fips,total_state_leg_count
2026,13,236
2025,13,236
2024,13,236
2023,13,236
2022,13,236
2021,13,236
2020,13,236
2019,13,236
2018,13,236
2017,13,236
2016,13,236
2015,13,236
2014,13,236
2013,13,236
2012,13,236
2011,13,236
2010,13,236
2009,13,236
2008,13,236
2007,13,236
2006,13,236
2005,13,236
2004,13,236
2003,13,236
2002,13,236
2001,13,236
2000,13,236
1999,13,236
1998,13,236
1997,13,236
1996,13,236
1995,13,236
1994,13,236
1993,13,236
1992,13,236
1991,13,236
1990,13,236
1989,13,236
1988,13,236
1987,13,236
1986,13,236
1985,13,236
1984,13,236
1983,13,236
1982,13,236
1981,13,236
1980,13,236
1979,13,236
1978,13,236
1977,13,236
1976,13,236
1975,13,236
