time_period,state_fips,total_state_leg_count
2026,44,113
2025,44,113
2024,44,113
2023,44,113
2022,44,113
2021,44,113
2020,44,113
2019,44,113
2018,44,113
2017,44,113
2016,44,113
2015,44,113
2014,44,113
2013,44,113
2012,44,113
2011,44,113
2010,44,113
2009,44,113
2008,44,113
2007,44,113
2006,44,113
2005,44,113
2004,44,113
2003,44,113
2002,44,150
2001,44,150
2000,44,150
1999,44,150
1998,44,150
1997,44,150
1996,44,150
1995,44,150
1994,44,150
1993,44,150
1992,44,150
1991,44,150
1990,44,150
1989,44,150
1988,44,150
1987,44,150
1986,44,150
1985,44,150
1984,44,150
1983,44,150
1982,44,150
1981,44,150
1980,44,150
1979,44,150
1978,44,150
1977,44,150
1976,44,150
1975,44,150
