time_period,state_fips,total_state_leg_count
2026,36,213
2025,36,213
2024,36,213
2023,36,213
2022,36,213
2021,36,213
2020,36,213
2019,36,213
2018,36,213
2017,36,213
2016,36,213
2015,36,213
2014,36,213
2013,36,213
2012,36,213
2011,36,212
2010,36,212
2009,36,212
2008,36,212
2007,36,212
2006,36,212
2005,36,212
2004,36,212
2003,36,212
2002,36,211
2001,36,211
2000,36,211
1999,36,211
1998,36,211
1997,36,211
1996,36,211
1995,36,211
1994,36,211
1993,36,211
1992,36,211
1991,36,211
1990,36,211
1989,36,211
1988,36,211
1987,36,211
1986,36,211
1985,36,211
1984,36,211
1983,36,211
1982,36,210
1981,36,210
1980,36,210
1979,36,210
1978,36,210
1977,36,210
1976,36,210
1975,36,210
