time_period,state_fips,total_state_leg_count
2026,35,112
2025,35,112
2024,35,112
2023,35,112
2022,35,112
2021,35,112
2020,35,112
2019,35,112
2018,35,112
2017,35,112
2016,35,112
2015,35,112
2014,35,112
2013,35,112
2012,35,112
2011,35,112
2010,35,112
2009,35,112
2008,35,112
2007,35,112
2006,35,112
2005,35,112
2004,35,112
2003,35,112
2002,35,112
2001,35,112
2000,35,112
1999,35,112
1998,35,112
1997,35,112
1996,35,112
1995,35,112
1994,35,112
1993,35,112
1992,35,112
1991,35,112
1990,35,112
1989,35,112
1988,35,112
1987,35,112
1986,35,112
1985,35,112
1984,35,112
1983,35,112
1982,35,112
1981,35,112
1980,35,112
1979,35,112
1978,35,112
1977,35,112
1976,35,112
1975,35,112
