time_period,state_fips,total_state_leg_count
2026,16,105
2025,16,105
2024,16,105
2023,16,105
2022,16,105
2021,16,105
2020,16,105
2019,16,105
2018,16,105
2017,16,105
2016,16,105
2015,16,105
2014,16,105
2013,16,105
2012,16,105
2011,16,105
2010,16,105
2009,16,105
2008,16,105
2007,16,105
2006,16,105
2005,16,105
2004,16,105
2003,16,105
2002,16,105
2001,16,105
2000,16,105
1999,16,105
1998,16,105
1997,16,105
1996,16,105
1995,16,105
1994,16,105
1993,16,105
1992,16,126
1991,16,126
1990,16,126
1989,16,126
1988,16,126
1987,16,126
1986,16,126
1985,16,126
1984,16,105
1983,16,105
1982,16,105
1981,16,105
1980,16,105
1979,16,105
1978,16,105
1977,16,105
1976,16,105
1975,16,105
