time_period,state_fips,total_state_leg_count
2026,28,174
2025,28,174
2024,28,174
2023,28,174
2022,28,174
2021,28,174
2020,28,174
2019,28,174
2018,28,174
2017,28,174
2016,28,174
2015,28,174
2014,28,174
2013,28,174
2012,28,174
2011,28,174
2010,28,174
2009,28,174
2008,28,174
2007,28,174
2006,28,174
2005,28,174
2004,28,174
2003,28,174
2002,28,174
2001,28,174
2000,28,174
1999,28,174
1998,28,174
1997,28,174
1996,28,174
1995,28,174
1994,28,174
1993,28,174
1992,28,174
1991,28,174
1990,28,174
1989,28,174
1988,28,174
1987,28,174
1986,28,174
1985,28,174
1984,28,174
1983,28,174
1982,28,174
1981,28,174
1980,28,174
1979,28,174
1978,28,174
1977,28,174
1976,28,174
1975,28,174
