time_period,state_fips,total_state_leg_count
2026,10,62
2025,10,62
2024,10,62
2023,10,62
2022,10,62
2021,10,62
2020,10,62
2019,10,62
2018,10,62
2017,10,62
2016,10,62
2015,10,62
2014,10,62
2013,10,62
2012,10,62
2011,10,62
2010,10,62
2009,10,62
2008,10,62
2007,10,62
2006,10,62
2005,10,62
2004,10,62
2003,10,62
2002,10,62
2001,10,62
2000,10,62
1999,10,62
1998,10,62
1997,10,62
1996,10,62
1995,10,62
1994,10,62
1993,10,62
1992,10,62
1991,10,62
1990,10,62
1989,10,62
1988,10,62
1987,10,62
1986,10,62
1985,10,62
1984,10,62
1983,10,62
1982,10,62
1981,10,62
1979,10,62
1978,10,62
1977,10,62
1976,10,62
1975,10,62
