time_period,state_fips,total_state_leg_count
2026,51,140
2025,51,140
2024,51,140
2023,51,140
2022,51,140
2021,51,140
2020,51,140
2019,51,140
2018,51,140
2017,51,140
2016,51,140
2015,51,140
2014,51,140
2013,51,140
2012,51,140
2011,51,140
2010,51,140
2009,51,140
2008,51,140
2007,51,140
2006,51,140
2005,51,140
2004,51,140
2003,51,140
2002,51,140
2001,51,140
2000,51,140
1999,51,140
1998,51,140
1997,51,140
1996,51,140
1995,51,140
1994,51,140
1993,51,140
1992,51,140
1991,51,140
1990,51,140
1989,51,140
1988,51,140
1987,51,140
1986,51,140
1985,51,140
1984,51,140
1983,51,140
1982,51,140
1981,51,140
1980,51,140
1979,51,140
1978,51,140
1977,51,140
1976,51,140
1975,51,140
