time_period,state_fips,total_state_leg_count
2026,33,424
2025,33,424
2024,33,424
2023,33,424
2022,33,424
2021,33,424
2020,33,424
2019,33,424
2018,33,424
2017,33,424
2016,33,424
2015,33,424
2014,33,424
2013,33,424
2012,33,424
2011,33,424
2010,33,424
2009,33,424
2008,33,424
2007,33,424
2006,33,424
2005,33,424
2004,33,424
2003,33,424
2002,33,424
2001,33,424
2000,33,424
1999,33,424
1998,33,424
1997,33,424
1996,33,424
1995,33,424
1994,33,424
1993,33,424
1992,33,424
1991,33,424
1990,33,424
1989,33,424
1988,33,424
1987,33,424
1986,33,424
1985,33,424
1984,33,424
1983,33,424
1982,33,424
1981,33,424
1980,33,424
1979,33,424
1978,33,424
1977,33,424
1976,33,424
1975,33,424
