time_period,state_fips,total_state_leg_count
2026,23,186
2025,23,186
2024,23,186
2023,23,186
2022,23,186
2021,23,186
2020,23,186
2019,23,186
2018,23,186
2017,23,186
2016,23,186
2015,23,186
2014,23,186
2013,23,186
2012,23,186
2011,23,186
2010,23,186
2009,23,186
2008,23,186
2007,23,186
2006,23,186
2005,23,186
2004,23,186
2003,23,186
2002,23,186
2001,23,186
2000,23,186
1999,23,186
1998,23,186
1997,23,186
1996,23,186
1995,23,186
1994,23,186
1993,23,186
1992,23,186
1991,23,186
1990,23,186
1989,23,186
1988,23,186
1987,23,186
1986,23,186
1985,23,186
1984,23,184
1983,23,184
1982,23,184
1981,23,184
1980,23,184
1979,23,184
1978,23,184
1977,23,184
1976,23,184
1975,23,184
