time_period,state_fips,total_state_leg_count
2026,47,132
2025,47,132
2024,47,132
2023,47,132
2022,47,132
2021,47,132
2020,47,132
2019,47,132
2018,47,132
2017,47,132
2016,47,132
2015,47,132
2014,47,132
2013,47,132
2012,47,132
2011,47,132
2010,47,132
2009,47,132
2008,47,132
2007,47,132
2006,47,132
2005,47,132
2004,47,132
2003,47,132
2002,47,132
2001,47,132
2000,47,132
1999,47,132
1998,47,132
1997,47,132
1996,47,132
1995,47,132
1994,47,132
1993,47,132
1992,47,132
1991,47,132
1990,47,132
1989,47,132
1988,47,132
1987,47,132
1986,47,132
1985,47,132
1984,47,132
1983,47,132
1982,47,132
1981,47,132
1980,47,132
1979,47,132
1978,47,132
1977,47,132
1976,47,132
1975,47,132
