time_period,state_fips,total_state_leg_count
2026,29,197
2025,29,197
2024,29,197
2023,29,197
2022,29,197
2021,29,197
2020,29,197
2019,29,197
2018,29,197
2017,29,197
2016,29,197
2015,29,197
2014,29,197
2013,29,197
2012,29,197
2011,29,197
2010,29,197
2009,29,197
2008,29,197
2007,29,197
2006,29,197
2005,29,197
2004,29,197
2003,29,197
2002,29,197
2001,29,197
2000,29,197
1999,29,197
1998,29,197
1997,29,197
1996,29,197
1995,29,197
1994,29,197
1993,29,197
1992,29,197
1991,29,197
1990,29,197
1989,29,197
1988,29,197
1987,29,197
1986,29,197
1985,29,197
1984,29,197
1983,29,197
1982,29,197
1981,29,197
1980,29,197
1979,29,197
1978,29,197
1977,29,197
1976,29,197
1975,29,197
