time_period,state_fips,total_state_leg_count
2026,50,180
2025,50,180
2024,50,180
2023,50,180
2022,50,180
2021,50,180
2020,50,180
2019,50,180
2018,50,180
2017,50,180
2016,50,180
2015,50,180
2014,50,180
2013,50,180
2012,50,180
2011,50,180
2010,50,180
2009,50,180
2008,50,180
2007,50,180
2006,50,180
2005,50,180
2004,50,180
2003,50,180
2002,50,180
2001,50,180
2000,50,180
1999,50,180
1998,50,180
1997,50,180
1996,50,180
1995,50,180
1994,50,180
1993,50,180
1992,50,180
1991,50,180
1990,50,180
1989,50,180
1988,50,180
1987,50,180
1986,50,180
1985,50,180
1984,50,180
1983,50,180
1982,50,180
1981,50,180
1980,50,180
1979,50,180
1978,50,180
1977,50,180
1976,50,180
1975,50,180
