time_period,state_fips,total_state_leg_count
2026,37,170
2025,37,170
2024,37,170
2023,37,170
2022,37,170
2021,37,170
2020,37,170
2019,37,170
2018,37,170
2017,37,170
2016,37,170
2015,37,170
2014,37,170
2013,37,170
2012,37,170
2011,37,170
2010,37,170
2009,37,170
2008,37,170
2007,37,170
2006,37,170
2005,37,170
2004,37,170
2003,37,170
2002,37,170
2001,37,170
2000,37,170
1999,37,170
1998,37,170
1997,37,170
1996,37,170
1995,37,170
1994,37,170
1993,37,170
1992,37,170
1991,37,170
1990,37,170
1989,37,170
1988,37,170
1987,37,170
1986,37,170
1985,37,170
1984,37,170
1983,37,170
1982,37,170
1981,37,170
1980,37,170
1979,37,170
1978,37,170
1977,37,170
1976,37,170
1975,37,170
