time_period,state_fips,total_state_leg_count
2026,18,150
2025,18,150
2024,18,150
2023,18,150
2022,18,150
2021,18,150
2020,18,150
2019,18,150
2018,18,150
2017,18,150
2016,18,150
2015,18,150
2014,18,150
2013,18,150
2012,18,150
2011,18,150
2010,18,150
2009,18,150
2008,18,150
2007,18,150
2006,18,150
2005,18,150
2004,18,150
2003,18,150
2002,18,150
2001,18,150
2000,18,150
1999,18,150
1998,18,150
1997,18,150
1996,18,150
1995,18,150
1994,18,150
1993,18,150
1992,18,150
1991,18,150
1990,18,150
1989,18,150
1988,18,150
1987,18,150
1986,18,150
1985,18,150
1984,18,150
1983,18,150
1982,18,150
1981,18,150
1980,18,150
1979,18,150
1978,18,150
1977,18,150
1976,18,150
1975,18,150
