time_period,state_fips,total_state_leg_count
2026,49,104
2025,49,104
2024,49,104
2023,49,104
2022,49,104
2021,49,104
2020,49,104
2019,49,104
2018,49,104
2017,49,104
2016,49,104
2015,49,104
2014,49,104
2013,49,104
2012,49,104
2011,49,104
2010,49,104
2009,49,104
2008,49,104
2007,49,104
2006,49,104
2005,49,104
2004,49,104
2003,49,104
2002,49,104
2001,49,104
2000,49,104
1999,49,104
1998,49,104
1997,49,104
1996,49,104
1995,49,104
1994,49,104
1993,49,104
1992,49,104
1991,49,104
1990,49,104
1989,49,104
1988,49,104
1987,49,104
1986,49,104
1985,49,104
1984,49,104
1983,49,104
1982,49,104
1981,49,104
1980,49,104
1979,49,104
1978,49,104
1977,49,104
1976,49,104
1975,49,104
