time_period,state_fips,total_state_leg_count
2026,31,49
2025,31,49
2024,31,49
2023,31,49
2022,31,49
2021,31,49
2020,31,49
2019,31,49
2018,31,49
2017,31,49
2016,31,49
2015,31,49
2014,31,49
2013,31,49
2012,31,49
2011,31,49
2010,31,49
2009,31,49
2008,31,49
2007,31,49
2006,31,49
2005,31,49
2004,31,49
2003,31,49
2002,31,49
2001,31,49
2000,31,49
1999,31,49
1998,31,49
1997,31,49
1996,31,49
1995,31,49
1994,31,49
1993,31,49
1992,31,49
1991,31,49
1990,31,49
1989,31,49
1988,31,49
1987,31,49
1986,31,49
1985,31,49
1984,31,49
1983,31,49
1982,31,49
1981,31,49
1980,31,49
1979,31,49
1978,31,49
1977,31,49
1976,31,49
1975,31,49
