time_period,state_fips,total_state_leg_count
2026,22,144
2025,22,144
2024,22,144
2023,22,144
2022,22,144
2021,22,144
2020,22,144
2019,22,144
2018,22,144
2017,22,144
2016,22,144
2015,22,144
2014,22,144
2013,22,144
2012,22,144
2011,22,144
2010,22,144
2009,22,144
2008,22,144
2007,22,144
2006,22,144
2005,22,144
2004,22,144
2003,22,144
2002,22,144
2001,22,144
2000,22,144
1999,22,144
1998,22,144
1997,22,144
1996,22,144
1995,22,144
1994,22,144
1993,22,144
1992,22,144
1991,22,144
1990,22,144
1989,22,144
1988,22,144
1987,22,144
1986,22,144
1985,22,144
1984,22,144
1983,22,144
1982,22,144
1981,22,144
1980,22,144
1979,22,144
1978,22,144
1977,22,144
1976,22,144
1975,22,144
