time_period,state_fips,total_state_leg_count
2026,08,100
2025,08,100
2024,08,100
2023,08,100
2022,08,100
2021,08,100
2020,08,100
2019,08,100
2018,08,100
2017,08,100
2016,08,100
2015,08,100
2014,08,100
2013,08,100
2012,08,100
2011,08,100
2010,08,100
2009,08,100
2008,08,100
2007,08,100
2006,08,100
2005,08,100
2004,08,100
2003,08,100
2002,08,100
2001,08,100
2000,08,100
1999,08,100
1998,08,100
1997,08,100
1996,08,100
1995,08,100
1994,08,100
1993,08,100
1992,08,100
1991,08,100
1990,08,100
1989,08,100
1988,08,100
1987,08,100
1986,08,100
1985,08,100
1984,08,100
1983,08,100
1982,08,100
1981,08,100
1980,08,100
1979,08,100
1978,08,100
1977,08,100
1976,08,100
1975,08,100
