"Notes","Year","Year Code","Leading Cancer Sites","Leading Cancer Sites Code","States and Puerto Rico","States and Puerto Rico Code","Age Groups","Age Groups Code",Count,Population,Crude Rate
,"1999","1999","Cervix Uteri","27010","Connecticut","09","25-29 years","25-29",Suppressed,104776,Suppressed
,"1999","1999","Cervix Uteri","27010","Connecticut","09","30-34 years","30-34",Suppressed,129662,Suppressed
,"1999","1999","Cervix Uteri","27010","Connecticut","09","35-39 years","35-39",18,149312,12.1
,"1999","1999","Cervix Uteri","27010","Connecticut","09","40-44 years","40-44",28,145646,19.2
,"1999","1999","Cervix Uteri","27010","Connecticut","09","45-49 years","45-49",17,125996,13.5
,"1999","1999","Cervix Uteri","27010","Connecticut","09","50-54 years","50-54",Suppressed,114850,Suppressed
,"1999","1999","Cervix Uteri","27010","Connecticut","09","55-59 years","55-59",Suppressed,88551,Suppressed
,"1999","1999","Cervix Uteri","27010","Connecticut","09","60-64 years ","60-64",Suppressed,68799,Suppressed
,"1999","1999","Cervix Uteri","27010","Delaware","10","20-24 years","20-24",Suppressed,25263,Suppressed
,"1999","1999","Cervix Uteri","27010","Delaware","10","25-29 years","25-29",Suppressed,26844,Suppressed
,"1999","1999","Cervix Uteri","27010","Delaware","10","30-34 years","30-34",Suppressed,29265,Suppressed
,"1999","1999","Cervix Uteri","27010","Delaware","10","35-39 years","35-39",Suppressed,32964,Suppressed
,"1999","1999","Cervix Uteri","27010","Delaware","10","40-44 years","40-44",Suppressed,31536,Suppressed
,"1999","1999","Cervix Uteri","27010","Delaware","10","45-49 years","45-49",Suppressed,27536,Suppressed
,"1999","1999","Cervix Uteri","27010","Delaware","10","50-54 years","50-54",Suppressed,24542,Suppressed
,"1999","1999","Cervix Uteri","27010","Delaware","10","55-59 years","55-59",Suppressed,19916,Suppressed
,"1999","1999","Cervix Uteri","27010","Delaware","10","60-64 years ","60-64",Suppressed,16740,Suppressed
,"1999","1999","Cervix Uteri","27010","District of Columbia","11","20-24 years","20-24",0,26317,0.0
,"1999","1999","Cervix Uteri","27010","District of Columbia","11","25-29 years","25-29",Suppressed,29880,Suppressed
,"1999","1999","Cervix Uteri","27010","District of Columbia","11","30-34 years","30-34",Suppressed,24860,Suppressed
,"1999","1999","Cervix Uteri","27010","District of Columbia","11","35-39 years","35-39",Suppressed,22908,Suppressed
,"1999","1999","Cervix Uteri","27010","District of Columbia","11","40-44 years","40-44",Suppressed,21152,Suppressed
,"1999","1999","Cervix Uteri","27010","District of Columbia","11","45-49 years","45-49",Suppressed,20329,Suppressed
,"1999","1999","Cervix Uteri","27010","District of Columbia","11","50-54 years","50-54",Suppressed,18531,Suppressed
,"1999","1999","Cervix Uteri","27010","District of Columbia","11","55-59 years","55-59",Suppressed,14675,Suppressed
,"1999","1999","Cervix Uteri","27010","District of Columbia","11","60-64 years ","60-64",Suppressed,11792,Suppressed
,"1999","1999","Cervix Uteri","27010","Florida","12","20-24 years","20-24",Suppressed,443023,Suppressed
,"1999","1999","Cervix Uteri","27010","Florida","12","25-29 years","25-29",48,491143,9.8
,"1999","1999","Cervix Uteri","27010","Florida","12","30-34 years","30-34",85,544936,15.6
,"1999","1999","Cervix Uteri","27010","Florida","12","35-39 years","35-39",122,629366,19.4
,"1999","1999","Cervix Uteri","27010","Florida","12","40-44 years","40-44",133,603875,22.0
,"1999","1999","Cervix Uteri","27010","Florida","12","45-49 years","45-49",112,537613,20.8
,"1999","1999","Cervix Uteri","27010","Florida","12","50-54 years","50-54",75,487549,15.4
,"1999","1999","Cervix Uteri","27010","Florida","12","55-59 years","55-59",103,416413,24.7
