RACE_NAME,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
Unknown,91030,14145,105175,0.8655098645
"Non-Hispanic White",4353763,712752,5066515,0.859321052
"Black or African-American",950948,273926,1224874,0.7763639362
Other,49765,9237,59002,0.8434459849
"Asian/Pacific Islander",231573,41440,273013,0.8482123562
Hispanic,420092,108840,528932,0.7942268571
"American Indian / Alaska Native",20308,7670,27978,0.7258560297
