AGE_GROUP,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
_18-39,24789,15397,40186,0.6168566167
_40-64,533221,210866,744087,0.7166110952
_65-69,949241,224844,1174085,0.8084942743
_70-74,1399112,296188,1695300,0.8252887395
_75-79,1220736,256073,1476809,0.8266038465
_80-84,872554,189009,1061563,0.8219521592
_85+,891799,201660,1093459,0.8155760756
