"Notes","Year","Year Code","Leading Cancer Sites","Leading Cancer Sites Code","States and Puerto Rico","States and Puerto Rico Code",Count,Population,Crude Rate
,"2000","2000","Colon and Rectum","21041-21052","Indiana","18",3463,6091866,56.8
,"2000","2000","Colon and Rectum","21041-21052","Iowa","19",2116,2929067,72.2
,"2000","2000","Colon and Rectum","21041-21052","Kansas","20",1556,2693681,57.8
,"2000","2000","Colon and Rectum","21041-21052","Kentucky","21",2500,4049021,61.7
,"2000","2000","Colon and Rectum","21041-21052","Louisiana","22",2542,4471885,56.8
,"2000","2000","Colon and Rectum","21041-21052","Maine","23",867,1277072,67.9
,"2000","2000","Colon and Rectum","21041-21052","Maryland","24",2822,5311034,53.1
,"2000","2000","Colon and Rectum","21041-21052","Massachusetts","25",3835,6361104,60.3
,"2000","2000","Colon and Rectum","21041-21052","Michigan","26",5372,9952450,54.0
,"2000","2000","Colon and Rectum","21041-21052","Minnesota","27",2550,4933692,51.7
,"2000","2000","Colon and Rectum","21041-21052","Mississippi","28",Missing,Missing,Missing
,"2000","2000","Colon and Rectum","21041-21052","Missouri","29",3545,5607285,63.2
,"2000","2000","Colon and Rectum","21041-21052","Montana","30",501,903773,55.4
,"2000","2000","Colon and Rectum","21041-21052","Nebraska","31",1122,1713820,65.5
,"2000","2000","Colon and Rectum","21041-21052","Nevada","32",987,2018741,48.9
,"2000","2000","Colon and Rectum","21041-21052","New Hampshire","33",666,1239882,53.7
,"2000","2000","Colon and Rectum","21041-21052","New Jersey","34",5572,8430621,66.1
,"2000","2000","Colon and Rectum","21041-21052","New Mexico","35",752,1821204,41.3
,"2000","2000","Colon and Rectum","21041-21052","New York","36",11842,19001780,62.3
,"2000","2000","Colon and Rectum","21041-21052","North Carolina","37",4070,8081614,50.4
,"2000","2000","Colon and Rectum","21041-21052","North Dakota","38",395,642023,61.5
,"2000","2000","Colon and Rectum","21041-21052","Ohio","39",6675,11363543,58.7
,"2000","2000","Colon and Rectum","21041-21052","Oklahoma","40",1942,3454365,56.2
,"2000","2000","Colon and Rectum","21041-21052","Oregon","41",1851,3429708,54.0
,"2000","2000","Colon and Rectum","21041-21052","Pennsylvania","42",8942,12284173,72.8
,"2000","2000","Colon and Rectum","21041-21052","Rhode Island","44",732,1050268,69.7
,"2000","2000","Colon and Rectum","21041-21052","South Carolina","45",2189,4024223,54.4
,"2000","2000","Colon and Rectum","21041-21052","South Dakota","46",Missing,Missing,Missing
,"2000","2000","Colon and Rectum","21041-21052","Tennessee","47",2750,5703719,48.2
,"2000","2000","Colon and Rectum","21041-21052","Texas","48",8847,20944499,42.2
