RACE_NAME,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
Unknown,316,53,369,0.8563685637
"Non-Hispanic White",12884,2702,15586,0.8266392917
"Black or African-American",1005,418,1423,0.7062543921
Other,124,18,142,0.8732394366
"Asian/Pacific Islander",395,112,507,0.7790927022
Hispanic,862,293,1155,0.7463203463
"American Indian / Alaska Native",53,37,90,0.5888888889
