AGE_GROUP,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
_18-39,41,25,66,0.6212121212
_40-64,1477,575,2052,0.719785575
_65-69,3855,790,4645,0.8299246502
_70-74,3985,836,4821,0.8265919934
_75-79,2800,632,3432,0.8158508159
_80-84,1867,422,2289,0.8156400175
_85+,1614,353,1967,0.8205388917
