"Notes","Year","Year Code","Leading Cancer Sites","Leading Cancer Sites Code","States","States Code",Count,Population,Crude Rate
,"2000","2000","Breast","26000","New York","36",14224,9842061,144.5
,"2000","2000","Breast","26000","North Carolina","37",5720,4119034,138.9
,"2000","2000","Breast","26000","North Dakota","38",475,321555,147.7
,"2000","2000","Breast","26000","Ohio","39",8455,5845425,144.6
,"2000","2000","Breast","26000","Oklahoma","40",2505,1756493,142.6
,"2000","2000","Breast","26000","Oregon","41",2775,1728647,160.5
,"2000","2000","Breast","26000","Pennsylvania","42",10078,6351999,158.7
,"2000","2000","Breast","26000","Rhode Island","44",847,545774,155.2
,"2000","2000","Breast","26000","South Carolina","45",2813,2068627,136.0
,"2000","2000","Breast","26000","South Dakota","46",Missing,Missing,Missing
,"2000","2000","Breast","26000","Tennessee","47",3804,2926133,130.0
,"2000","2000","Breast","26000","Texas","48",12375,10545156,117.4
,"2000","2000","Breast","26000","Utah","49",1047,1119827,93.5
,"2000","2000","Breast","26000","Vermont","50",467,310849,150.2
,"2000","2000","Breast","26000","Virginia","51",4885,3619742,135.0
,"2000","2000","Breast","26000","Washington","53",4456,2967734,150.1
,"2000","2000","Breast","26000","West Virginia","54",1372,928269,147.8
,"2000","2000","Breast","26000","Wisconsin","55",4127,2719235,151.8
,"2000","2000","Breast","26000","Wyoming","56",349,245584,142.1
,"2001","2001","Breast","26000","Alabama","01",3101,2309496,134.3
,"2001","2001","Breast","26000","Alaska","02",338,305579,110.6
,"2001","2001","Breast","26000","Arizona","04",3495,2641676,132.3
,"2001","2001","Breast","26000","Arkansas","05",1867,1376845,135.6
,"2001","2001","Breast","26000","California","06",22245,17294223,128.6
,"2001","2001","Breast","26000","Colorado","08",2843,2195705,129.5
,"2001","2001","Breast","26000","Connecticut","09",3052,1768959,172.5
,"2001","2001","Breast","26000","Delaware","10",603,409349,147.3
,"2001","2001","Breast","26000","District of Columbia","11",450,303740,148.2
,"2001","2001","Breast","26000","Florida","12",13809,8372776,164.9
,"2001","2001","Breast","26000","Georgia","13",5216,4256162,122.6
,"2001","2001","Breast","26000","Hawaii","15",913,609189,149.9
,"2001","2001","Breast","26000","Idaho","16",844,658043,128.3
,"2001","2001","Breast","26000","Illinois","17",9017,6370443,141.5
,"2001","2001","Breast","26000","Indiana","18",4405,3120158,141.2
,"2001","2001","Breast","26000","Iowa","19",2311,1492287,154.9
,"2001","2001","Breast","26000","Kansas","20",2015,1365966,147.5
,"2001","2001","Breast","26000","Kentucky","21",2875,2076871,138.4
,"2001","2001","Breast","26000","Louisiana","22",2915,2308063,126.3
,"2001","2001","Breast","26000","Maine","23",1129,659657,171.1
,"2001","2001","Breast","26000","Maryland","24",3768,2779864,135.5
,"2001","2001","Breast","26000","Massachusetts","25",5077,3312567,153.3
,"2001","2001","Breast","26000","Michigan","26",7367,5089289,144.8
,"2001","2001","Breast","26000","Minnesota","27",3631,2514149,144.4
,"2001","2001","Breast","26000","Mississippi","28",Missing,Missing,Missing
,"2001","2001","Breast","26000","Missouri","29",4075,2895476,140.7
,"2001","2001","Breast","26000","Montana","30",716,454683,157.5
,"2001","2001","Breast","26000","Nebraska","31",1325,871208,152.1
,"2001","2001","Breast","26000","Nevada","32",1420,1030850,137.8
,"2001","2001","Breast","26000","New Hampshire","33",983,637412,154.2
,"2001","2001","Breast","26000","New Jersey","34",6738,4369932,154.2
,"2001","2001","Breast","26000","New Mexico","35",1136,930387,122.1
,"2001","2001","Breast","26000","New York","36",13940,9878713,141.1
,"2001","2001","Breast","26000","North Carolina","37",5887,4187317,140.6
,"2001","2001","Breast","26000","North Dakota","38",466,319787,145.7
,"2001","2001","Breast","26000","Ohio","39",8406,5853691,143.6
,"2001","2001","Breast","26000","Oklahoma","40",2544,1760052,144.5
,"2001","2001","Breast","26000","Oregon","41",2835,1747889,162.2
,"2001","2001","Breast","26000","Pennsylvania","42",10298,6354395,162.1
,"2001","2001","Breast","26000","Rhode Island","44",826,548974,150.5
,"2001","2001","Breast","26000","South Carolina","45",2857,2089963,136.7
,"2001","2001","Breast","26000","South Dakota","46",566,381537,148.3
,"2001","2001","Breast","26000","Tennessee","47",3688,2948421,125.1
,"2001","2001","Breast","26000","Texas","48",12569,10731190,117.1
,"2001","2001","Breast","26000","Utah","49",1101,1139182,96.6
,"2001","2001","Breast","26000","Vermont","50",494,311779,158.4
,"2001","2001","Breast","26000","Virginia","51",4692,3665386,128.0
,"2001","2001","Breast","26000","Washington","53",4608,3002080,153.5
,"2001","2001","Breast","26000","West Virginia","54",1404,923643,152.0
,"2001","2001","Breast","26000","Wisconsin","55",4202,2733647,153.7
,"2001","2001","Breast","26000","Wyoming","56",295,245327,120.2
