sex_name,state_name,state_fips,bene_yes,bene_no,total_bene,bene_yes_pct,bene_yes_pct_lcl,bene_yes_pct_ucl,age_adjusted_pct,age_adjusted_pct_lcl,age_adjusted_pct_ucl
Male,Alabama,1,734,310,1044,64.7769165321554,60.7853246444552,68.7685084198556,57.3257334528218,49.8764669654471,64.7749999401965
Female,Alabama,1,1048,359,1407,70.323738251796,67.0370021557388,73.6104743478532,59.692237120786,52.1673772553355,67.2170969862364
Male,Alaska,2,970,553,1523,61.6056234155594,58.2151765653725,64.9960702657464,55.1929944473807,47.8338655983638,62.5521232963975
Female,Alaska,2,979,510,1489,62.847309420348,59.1863129892071,66.5083058514888,54.232114058298,46.8128684080571,61.6513597085389
Male,Arizona,4,1534,871,2405,60.1747099465202,56.9179289589743,63.4314909340662,52.0931971661647,45.3547998607241,58.8315944716052
Female,Arizona,4,1765,960,2725,63.0834527794909,60.0689089275753,66.0979966314065,53.9202715837437,47.5743720129143,60.266171154573
Male,Arkansas,5,762,427,1189,60.1104280403849,56.7060126197393,63.5148434610305,53.05817534451,46.1586331777639,59.9577175112562
Female,Arkansas,5,1029,436,1465,67.5194205938536,64.5156057232233,70.5232354644839,59.3562861430064,52.4212587039392,66.2913135820736
Male,California,6,1441,854,2295,60.107833942543,57.1154769183581,63.1001909667279,51.1497571019562,45.59323563409,56.7062785698224
Female,California,6,1449,751,2200,62.7263728695503,59.5798815497782,65.8728641893224,56.6779547401889,50.0977776075504,63.2581318728274
Male,Colorado,8,1438,735,2173,63.3866740471728,60.7421917949949,66.0311562993507,54.7204388672934,50.0642622229982,59.3766155115886
Female,Colorado,8,1507,730,2237,67.653337703344,65.2296279822042,70.0770474244838,58.4081933210201,53.6604341034398,63.1559525386004
Male,Connecticut,9,1794,567,2361,74.2362208804826,71.419188268594,77.0532534923712,66.4885374685175,59.9306667974667,73.0464081395684
Female,Connecticut,9,1931,579,2510,76.2983731683054,73.8381526294386,78.7585937071722,66.1929849927969,60.5192138660495,71.8667561195442
Male,Delaware,10,639,259,898,71.0113023756785,67.0324911903372,74.9901135610198,62.2430210226313,52.9517052833051,71.5343367619575
Female,Delaware,10,855,345,1200,69.1761764636933,65.5574833604301,72.7948695669566,56.7301837728925,49.1707935936068,64.2895739521783
Male,"District of Columbia",11,441,172,613,69.9658289527878,65.5246356803809,74.4070222251947,61.6939634083749,53.222354679543,70.1655721372067
Female,"District of Columbia",11,572,192,764,71.5287146207553,67.0260384090628,76.0313908324478,63.4768970811263,54.2242132686665,72.7295808935862
Male,Florida,12,2178,891,3069,63.6424017232295,60.0212962473281,67.263507199131,54.2824643282794,47.2572559030709,61.3076727534879
Female,Florida,12,2615,976,3591,70.3860503472943,67.0280737289057,73.7440269656829,62.2542702384541,52.2567519382531,72.2517885386551
Male,Georgia,13,1390,559,1949,66.8889187401026,63.7570274411084,70.0208100390968,61.2446830858241,54.4324924845764,68.0568736870718
Female,Georgia,13,1760,718,2478,65.1493094587249,62.1773671012932,68.1212518161565,54.2409041532547,49.2019792765701,59.2798290299392
Male,Hawaii,15,1272,540,1812,67.5399619061428,64.3557742756188,70.7241495366668,59.4607738843004,52.3679716514568,66.553576117144
Female,Hawaii,15,1437,670,2107,66.3589167568378,63.5083225760057,69.2095109376698,54.7144975327659,48.8953399159382,60.5336551495936
Male,Idaho,16,907,537,1444,61.6917774758311,58.8063719521945,64.5771829994677,52.1706766644607,46.8464057865945,57.4949475423268
Female,Idaho,16,1063,557,1620,65.4096220731161,62.6733450589446,68.1458990872876,57.8041206671612,52.0465786022036,63.5616627321187
Male,Illinois,17,556,348,904,63.5187680458314,59.6292296271657,67.408306464497,55.6562013485755,47.8097444037831,63.5026582933679
Female,Illinois,17,622,360,982,67.3180090942608,63.615831808413,71.0201863801085,60.4745546772564,52.7785200694467,68.1705892850661
Male,Indiana,18,1656,726,2382,66.512620188663,64.2641600652872,68.7610803120387,57.3908503760262,52.5877858967159,62.1939148553364
Female,Indiana,18,2019,727,2746,72.4108980279437,70.3966760866393,74.4251199692481,62.2923247427609,57.8932600635507,66.6913894219711
Male,Iowa,19,1483,664,2147,66.8122515122274,64.3654844591165,69.2590185653383,56.5794131925187,51.5309511426591,61.6278752423782
Female,Iowa,19,1661,604,2265,70.231588185854,67.7974553126657,72.6657210590422,60.0105321106961,54.8125597491835,65.2085044722087
Male,Kansas,20,1764,807,2571,64.7880751770349,62.2166560239544,67.3594943301155,56.8701158233598,51.27677929213,62.4634523545896
Female,Kansas,20,2080,917,2997,65.4011494232191,63.0108345956939,67.7914642507442,55.4090405550052,50.5673582243555,60.2507228856549
Male,Kentucky,21,637,319,956,66.1237345929995,61.923030425168,70.324438760831,59.1555789115936,49.2978549428999,69.0133028802872
Female,Kentucky,21,797,318,1115,68.1922825712624,64.1958761365978,72.1886890059271,60.5334638813753,51.3072990294038,69.7596287333468
Male,Louisiana,22,875,391,1266,66.4478679372873,63.0599347806232,69.8358010939514,56.5023823483902,49.5478588371694,63.4569058596109
Female,Louisiana,22,1136,411,1547,71.9911547856741,69.1955966415594,74.7867129297888,61.798229759878,55.3133816719533,68.2830778478028
Male,Maine,23,1976,688,2664,71.2320995250003,68.6974195130416,73.7667795369591,59.9214114388062,54.783832075556,65.0589908020564
Female,Maine,23,2549,834,3383,73.0752622719026,70.9560459307734,75.1944786130319,60.6276583188932,55.7468139319232,65.5085027058631
Male,Maryland,24,2651,1026,3677,69.9949009129085,67.7179223896799,72.2718794361371,62.003696712032,56.9718280520179,67.0355653720462
