income_group,state_name,state_fips,bene_yes,bene_no,total_bene,bene_yes_pct,bene_yes_pct_lcl,bene_yes_pct_ucl,age_adjusted_pct,age_adjusted_pct_lcl,age_adjusted_pct_ucl
"$100,000 to < $200,000","District of Columbia",11,265,88,353,69.734403441297,63.1638609054242,76.3049459771698,64.0695107856517,52.0570423985389,76.0819791727645
"$200,000 or more","District of Columbia",11,165,61,226,69.7866235184415,62.3484735136264,77.2247735232565,67.3219922341447,53.7304664717537,80.9135179965357
"Don’t know/Not sure/Missing","District of Columbia",11,142,42,184,75.5900577867282,67.7356549225504,83.4444606509061,62.3905989040827,50.4993002480948,74.2818975600706
"Less than $15,000",Florida,12,214,141,355,58.726989897627,47.0242313996535,70.4297483956005,52.2822682036462,39.0529427208529,65.5115936864395
"$15,000 to < $25,000",Florida,12,414,212,626,52.310053781853,43.7605702337293,60.8595373299767,44.5663974838789,35.1923239128924,53.9404710548653
"$25,000 to < $35,000",Florida,12,488,202,690,60.7721327538172,53.3104291274816,68.2338363801528,47.6547210379721,40.2379132860107,55.0715287899335
"$35,000 to < $50,000",Florida,12,528,207,735,72.0215276939056,64.555352743125,79.4877026446861,59.2058816714338,48.3539974986573,70.0577658442103
"$50,000 to < $75,000",Florida,12,725,264,989,70.1960815199605,64.5504448274923,75.8417182124287,57.5685030211519,49.1130867814066,66.0239192608971
"$75,000 to < $100,000",Florida,12,616,205,821,66.9883053052716,60.5688738750111,73.407736735532,60.1409643540697,51.6628938567082,68.6190348514313
"$100,000 to < $200,000",Florida,12,724,266,990,69.0948333881695,62.99947610372,75.190190672619,65.8691909129116,50.4495859022469,81.2887959235763
"$200,000 or more",Florida,12,270,66,336,80.2848075917591,71.5535817803519,89.0160334031664,74.5076700312511,58.398459545979,90.6168805165232
"Don’t know/Not sure/Missing",Florida,12,814,304,1118,69.2463594488912,63.4632680536024,75.0294508441801,57.1167821109791,41.6920384924941,72.5415257294641
"Less than $15,000",Georgia,13,163,100,263,62.20658510576,54.9269927326648,69.4861774788551,53.2580478529144,36.7975680893653,69.7185276164635
"$15,000 to < $25,000",Georgia,13,271,143,414,59.7141956659211,53.5080044020744,65.9203869297677,48.4971411858501,35.76827262984,61.2260097418603
"$25,000 to < $35,000",Georgia,13,295,125,420,66.5671307351703,59.3111122255601,73.8231492447805,50.8852300849164,42.4481105986209,59.322349571212
"$35,000 to < $50,000",Georgia,13,345,126,471,69.2749061326929,62.8793881138603,75.6704241515255,61.2735180722285,49.520591069728,73.0264450747291
"$50,000 to < $75,000",Georgia,13,471,154,625,70.1245446691918,64.980934380941,75.2681549574426,58.7172606943166,50.2004730740654,67.2340483145679
"$75,000 to < $100,000",Georgia,13,315,129,444,63.7986120127942,56.4825392470252,71.1146847785632,56.8635400459142,47.3063992166983,66.4206808751301
"$100,000 to < $200,000",Georgia,13,583,201,784,69.411046482246,64.9160454938088,73.9060474706832,67.6921272197611,57.5342086744788,77.8500457650434
"$200,000 or more",Georgia,13,168,70,238,65.728620019694,55.8530182979484,75.6042217414396,63.8556576243934,49.735496372414,77.9758188763727
"Don’t know/Not sure/Missing",Georgia,13,539,229,768,62.7697032865521,57.1887539365641,68.3506526365401,51.7993134455097,42.1308324234736,61.4677944675457
"Less than $15,000",Hawaii,15,127,108,235,46.7840161539271,36.3971725857995,57.1708597220548,40.4633698320863,18.1415732785995,62.785166385573
"$15,000 to < $25,000",Hawaii,15,195,137,332,53.9464077254577,45.4473791784374,62.445436272478,44.0753227777488,30.8967048076225,57.253940747875
"$25,000 to < $35,000",Hawaii,15,212,112,324,64.4263164207672,56.6953703076738,72.1572625338606,53.3749151401487,30.8980114178514,75.8518188624459
"$35,000 to < $50,000",Hawaii,15,274,126,400,61.9030989728202,54.5387770476145,69.2674208980259,48.2994976829676,30.6739359988415,65.9250593670937
"$50,000 to < $75,000",Hawaii,15,429,187,616,67.7222109431198,62.326867421502,73.1175544647376,57.4111574683695,44.9621260176601,69.8601889190789
"$75,000 to < $100,000",Hawaii,15,415,125,540,74.8189097594065,69.9889126814132,79.6489068373997,67.7281225281298,55.7881613389503,79.6680837173093
"$100,000 to < $200,000",Hawaii,15,624,228,852,72.5573757952397,68.7181811367068,76.3965704537725,65.1919558413915,57.1633792977192,73.2205323850638
