education_group,bene_yes,bene_no,total_bene,bene_yes_pct,bene_yes_pct_lcl,bene_yes_pct_ucl,age_adjusted_pct,age_adjusted_pct_lcl,age_adjusted_pct_ucl
"Did not graduate High School",5899,5206,11105,49.9475970508865,48.1321836474925,51.7630104542805,43.8563555800203,40.884321761596,46.8283893984445
"Graduated High School",32430,16691,49121,63.9233765097143,63.0452919754147,64.8014610440139,54.0563487103532,52.0596986229877,56.0529987977188
"Attended College or Technical School",42791,17762,60553,68.5576131065474,67.7662815210712,69.3489446920235,58.6871473706607,56.9483903196126,60.4259044217088
"Graduated from College or Technical School",71198,24732,95930,71.4019473622998,70.7796200380482,72.0242746865514,63.0967031779152,61.7631923123183,64.4302140435121
"Don’t know/Not sure/Missing",299,185,484,65.3731294560473,60.0615595043356,70.684699407759,54.0627245174047,48.3555911131066,59.7698579217029
