age_group,bene_yes,bene_no,total_bene,bene_yes_pct,bene_yes_pct_lcl,bene_yes_pct_ucl,age_adjusted_pct,age_adjusted_pct_lcl,age_adjusted_pct_ucl
_45_49,7430,17770,25200,29.8311717415515,28.6463253921823,31.0160180909207,.,.,.
_50_54,16788,13006,29794,53.8952112714598,52.7268955657511,55.0635269771685,.,.,.
_55_59,23976,8723,32699,71.1190355088636,70.0453637725589,72.1927072451684,.,.,.
_60_64,30420,9385,39805,74.9252441068393,73.9650701452605,75.8854180684182,.,.,.
_65_69,34570,7936,42506,80.271959148122,79.4111502309712,81.1327680652728,.,.,.
_70_75,39433,7756,47189,82.6163794898998,81.7904759863208,83.4422829934787,.,.,.
