"Notes","Year","Year Code","Leading Cancer Sites","Leading Cancer Sites Code","States and Puerto Rico","States and Puerto Rico Code",Count,Population,Crude Rate
,"2000","2000","Prostate","28010","Nevada","32",1507,1028426,146.5
,"2000","2000","Prostate","28010","New Hampshire","33",932,609771,152.8
,"2000","2000","Prostate","28010","New Jersey","34",7784,4090509,190.3
,"2000","2000","Prostate","28010","New Mexico","35",1164,895580,130.0
,"2000","2000","Prostate","28010","New York","36",15532,9159719,169.6
,"2000","2000","Prostate","28010","North Carolina","37",5792,3962580,146.2
,"2000","2000","Prostate","28010","North Dakota","38",644,320468,201.0
,"2000","2000","Prostate","28010","Ohio","39",8012,5518118,145.2
,"2000","2000","Prostate","28010","Oklahoma","40",2384,1697872,140.4
,"2000","2000","Prostate","28010","Oregon","41",2701,1701061,158.8
,"2000","2000","Prostate","28010","Pennsylvania","42",11054,5932174,186.3
,"2000","2000","Prostate","28010","Rhode Island","44",944,504494,187.1
,"2000","2000","Prostate","28010","South Carolina","45",3154,1955596,161.3
,"2000","2000","Prostate","28010","South Dakota","46",Missing,Missing,Missing
,"2000","2000","Prostate","28010","Tennessee","47",2907,2777586,104.7
,"2000","2000","Prostate","28010","Texas","48",12711,10399343,122.2
,"2000","2000","Prostate","28010","Utah","49",1249,1124675,111.1
,"2000","2000","Prostate","28010","Vermont","50",527,298769,176.4
,"2000","2000","Prostate","28010","Virginia","51",4888,3486075,140.2
,"2000","2000","Prostate","28010","Washington","53",4379,2942778,148.8
,"2000","2000","Prostate","28010","West Virginia","54",1532,878752,174.3
,"2000","2000","Prostate","28010","Wisconsin","55",4240,2654764,159.7
,"2000","2000","Prostate","28010","Wyoming","56",436,248716,175.3
,"2000","2000","Prostate","28010","Puerto Rico","72",Missing,Missing,Missing
,"2001","2001","Prostate","28010","Alabama","01",3115,2158138,144.3
,"2001","2001","Prostate","28010","Alaska","02",340,328135,103.6
,"2001","2001","Prostate","28010","Arizona","04",3333,2631801,126.6
,"2001","2001","Prostate","28010","Arkansas","05",1976,1314726,150.3
,"2001","2001","Prostate","28010","California","06",21591,17185235,125.6
,"2001","2001","Prostate","28010","Colorado","08",2843,2229982,127.5
,"2001","2001","Prostate","28010","Connecticut","09",3105,1663876,186.6
,"2001","2001","Prostate","28010","Delaware","10",711,386350,184.0
,"2001","2001","Prostate","28010","District of Columbia","11",488,270764,180.2
,"2001","2001","Prostate","28010","Florida","12",16702,7984190,209.2
,"2001","2001","Prostate","28010","Georgia","13",5435,4120876,131.9
,"2001","2001","Prostate","28010","Hawaii","15",808,616759,131.0
,"2001","2001","Prostate","28010","Idaho","16",1032,661919,155.9
,"2001","2001","Prostate","28010","Illinois","17",9019,6118002,147.4
,"2001","2001","Prostate","28010","Indiana","18",4032,3007602,134.1
,"2001","2001","Prostate","28010","Iowa","19",2283,1439710,158.6
,"2001","2001","Prostate","28010","Kansas","20",1939,1336196,145.1
,"2001","2001","Prostate","28010","Kentucky","21",2881,1991261,144.7
,"2001","2001","Prostate","28010","Louisiana","22",3324,2169812,153.2
,"2001","2001","Prostate","28010","Maine","23",1214,626035,193.9
,"2001","2001","Prostate","28010","Maryland","24",4178,2594827,161.0
,"2001","2001","Prostate","28010","Massachusetts","25",5368,3085067,174.0
,"2001","2001","Prostate","28010","Michigan","26",8986,4901831,183.3
,"2001","2001","Prostate","28010","Minnesota","27",4168,2468647,168.8
,"2001","2001","Prostate","28010","Mississippi","28",Missing,Missing,Missing
,"2001","2001","Prostate","28010","Missouri","29",3964,2745666,144.4
,"2001","2001","Prostate","28010","Montana","30",880,452278,194.6
,"2001","2001","Prostate","28010","Nebraska","31",1269,848628,149.5
,"2001","2001","Prostate","28010","Nevada","32",1603,1067549,150.2
,"2001","2001","Prostate","28010","New Hampshire","33",1033,618105,167.1
,"2001","2001","Prostate","28010","New Jersey","34",8244,4122739,200.0
,"2001","2001","Prostate","28010","New Mexico","35",1276,901303,141.6
,"2001","2001","Prostate","28010","New York","36",15246,9204125,165.6
,"2001","2001","Prostate","28010","North Carolina","37",6113,4022805,152.0
,"2001","2001","Prostate","28010","North Dakota","38",632,319275,197.9
,"2001","2001","Prostate","28010","Ohio","39",8328,5533713,150.5
,"2001","2001","Prostate","28010","Oklahoma","40",2367,1707048,138.7
,"2001","2001","Prostate","28010","Oregon","41",2784,1720048,161.9
,"2001","2001","Prostate","28010","Pennsylvania","42",11228,5944575,188.9
,"2001","2001","Prostate","28010","Rhode Island","44",945,508168,186.0
,"2001","2001","Prostate","28010","South Carolina","45",3251,1975032,164.6
,"2001","2001","Prostate","28010","South Dakota","46",752,376435,199.8
,"2001","2001","Prostate","28010","Tennessee","47",3003,2802368,107.2
,"2001","2001","Prostate","28010","Texas","48",13298,10588432,125.6
,"2001","2001","Prostate","28010","Utah","49",1371,1144533,119.8
,"2001","2001","Prostate","28010","Vermont","50",486,300444,161.8
,"2001","2001","Prostate","28010","Virginia","51",5189,3532976,146.9
,"2001","2001","Prostate","28010","Washington","53",4506,2983642,151.0
,"2001","2001","Prostate","28010","West Virginia","54",1535,877838,174.9
,"2001","2001","Prostate","28010","Wisconsin","55",4429,2673188,165.7
,"2001","2001","Prostate","28010","Wyoming","56",430,249330,172.5
,"2001","2001","Prostate","28010","Puerto Rico","72",Missing,Missing,Missing
,"2002","2002","Prostate","28010","Alabama","01",3076,2165719,142.0
,"2002","2002","Prostate","28010","Alaska","02",397,332704,119.3
,"2002","2002","Prostate","28010","Arizona","04",3147,2692038,116.9
,"2002","2002","Prostate","28010","Arkansas","05",2105,1322688,159.1
,"2002","2002","Prostate","28010","California","06",22470,17373381,129.3
,"2002","2002","Prostate","28010","Colorado","08",2894,2261741,128.0
,"2002","2002","Prostate","28010","Connecticut","09",3028,1678249,180.4
,"2002","2002","Prostate","28010","Delaware","10",772,391517,197.2
,"2002","2002","Prostate","28010","District of Columbia","11",533,270012,197.4
,"2002","2002","Prostate","28010","Florida","12",16264,8147636,199.6
,"2002","2002","Prostate","28010","Georgia","13",5562,4180322,133.1
,"2002","2002","Prostate","28010","Hawaii","15",705,623421,113.1
,"2002","2002","Prostate","28010","Idaho","16",1004,671686,149.5
,"2002","2002","Prostate","28010","Illinois","17",9322,6137659,151.9
,"2002","2002","Prostate","28010","Indiana","18",3868,3022625,128.0
,"2002","2002","Prostate","28010","Iowa","19",2318,1442784,160.7
,"2002","2002","Prostate","28010","Kansas","20",2046,1341637,152.5
,"2002","2002","Prostate","28010","Kentucky","21",2955,2002652,147.6
,"2002","2002","Prostate","28010","Louisiana","22",3604,2181743,165.2
,"2002","2002","Prostate","28010","Maine","23",1123,631734,177.8
,"2002","2002","Prostate","28010","Maryland","24",4550,2625192,173.3
,"2002","2002","Prostate","28010","Massachusetts","25",5217,3097770,168.4
,"2002","2002","Prostate","28010","Michigan","26",9206,4915539,187.3
,"2002","2002","Prostate","28010","Minnesota","27",4209,2487730,169.2
,"2002","2002","Prostate","28010","Mississippi","28",Missing,Missing,Missing
,"2002","2002","Prostate","28010","Missouri","29",3772,2764349,136.5
,"2002","2002","Prostate","28010","Montana","30",957,454955,210.4
,"2002","2002","Prostate","28010","Nebraska","31",1286,853489,150.7
,"2002","2002","Prostate","28010","Nevada","32",1732,1104027,156.9
,"2002","2002","Prostate","28010","New Hampshire","33",1069,625409,170.9
,"2002","2002","Prostate","28010","New Jersey","34",8444,4153842,203.3
,"2002","2002","Prostate","28010","New Mexico","35",1299,913453,142.2
,"2002","2002","Prostate","28010","New York","36",15586,9234873,168.8
,"2002","2002","Prostate","28010","North Carolina","37",6065,4076022,148.8
,"2002","2002","Prostate","28010","North Dakota","38",595,319151,186.4
,"2002","2002","Prostate","28010","Ohio","39",8405,5548504,151.5
,"2002","2002","Prostate","28010","Oklahoma","40",2586,1720000,150.3
