ENTLMT_RSN_CURR,STATE_NAME,STATE_FIPS,BENE_N,TOTAL_N,PER_100K
ESRD,Colorado,8,.,.,857.843137254902
ESRD,Connecticut,9,15,601,2495.8402662229614
ESRD,Delaware,10,.,.,2049.180327868852
ESRD,"District of Columbia",11,17,253,6719.367588932806
ESRD,Florida,12,176,4582,3841.117415975556
ESRD,Georgia,13,138,3720,3709.6774193548385
ESRD,Hawaii,15,.,.,150.82956259426848
ESRD,Illinois,17,38,2702,1406.3656550703183
ESRD,Indiana,18,15,1329,1128.6681715575621
ESRD,Iowa,19,.,.,427.35042735042737
ESRD,Kansas,20,.,.,354.6099290780142
ESRD,Kentucky,21,.,.,443.1314623338257
ESRD,Louisiana,22,59,1532,3851.1749347258483
ESRD,Maine,23,.,.,1063.8297872340424
ESRD,Maryland,24,64,1417,4516.584333098095
ESRD,Massachusetts,25,13,803,1618.92901618929
ESRD,Michigan,26,28,2095,1336.5155131264917
ESRD,Minnesota,27,.,.,621.1180124223602
ESRD,Mississippi,28,28,1240,2258.064516129032
ESRD,Missouri,29,18,1405,1281.1387900355871
ESRD,Nebraska,31,.,.,279.3296089385475
ESRD,Nevada,32,.,.,520.8333333333333
ESRD,"New Jersey",34,34,1822,1866.0812294182215
ESRD,"New Mexico",35,.,.,314.96062992125985
ESRD,"New York",36,125,3757,3327.122704285334
ESRD,"North Carolina",37,70,2690,2602.2304832713753
ESRD,"North Dakota",38,.,.,769.2307692307693
ESRD,Ohio,39,12,2172,552.4861878453038
ESRD,Oklahoma,40,.,.,802.1390374331552
ESRD,Oregon,41,.,.,806.4516129032257
ESRD,Pennsylvania,42,35,1882,1859.7236981934113
ESRD,"Rhode Island",44,.,.,877.1929824561403
ESRD,"South Carolina",45,40,1494,2677.376171352075
ESRD,"South Dakota",46,.,.,507.6142131979695
ESRD,Tennessee,47,23,1531,1502.2860875244937
ESRD,Texas,48,127,9534,1332.0746800923012
ESRD,Virginia,51,28,1739,1610.1207590569295
ESRD,Washington,53,.,.,363.901018922853
ESRD,"West Virginia",54,.,.,673.4006734006733
ESRD,Wisconsin,55,.,.,886.6995073891626
"Disabled and ESRD",Alabama,1,22,773,2846.0543337645536
"Disabled and ESRD",Alaska,2,.,.,2500
"Disabled and ESRD",Arizona,4,.,.,757.5757575757576
"Disabled and ESRD",Arkansas,5,.,.,2816.9014084507044
"Disabled and ESRD",California,6,22,1163,1891.6595012897678
"Disabled and ESRD",Colorado,8,.,.,1459.85401459854
"Disabled and ESRD",Connecticut,9,.,.,2941.176470588235
"Disabled and ESRD",Delaware,10,.,.,2222.222222222222
"Disabled and ESRD","District of Columbia",11,.,.,12500
"Disabled and ESRD",Florida,12,55,1041,5283.381364073007
"Disabled and ESRD",Georgia,13,45,1204,3737.5415282392028
