AGE_GROUP,STATE_NAME,STATE_FIPS,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
_65-69,Nevada,32,.,.,.,0.8048780488
_65-69,"New Hampshire",33,.,.,.,0.9310344828
_65-69,"New Jersey",34,88,21,109,0.8073394495
_65-69,"New Mexico",35,.,.,.,0.8235294118
_65-69,"New York",36,172,16,188,0.914893617
_65-69,"North Carolina",37,153,33,186,0.8225806452
_65-69,"North Dakota",38,.,.,.,0.7272727273
_65-69,Ohio,39,175,30,205,0.8536585366
_65-69,Oklahoma,40,69,14,83,0.8313253012
_65-69,Oregon,41,.,.,.,0.8181818182
_65-69,Pennsylvania,42,199,28,227,0.8766519824
_65-69,"Rhode Island",44,.,.,.,0.7142857143
_65-69,"South Carolina",45,75,18,93,0.8064516129
_65-69,"South Dakota",46,.,.,.,0.8947368421
_65-69,Tennessee,47,114,22,136,0.8382352941
_65-69,Texas,48,258,64,322,0.801242236
_65-69,Utah,49,.,.,.,0.775
_65-69,Vermont,50,.,.,.,0.7222222222
_65-69,Virginia,51,114,15,129,0.8837209302
_65-69,Washington,53,.,.,.,0.8783783784
_65-69,"West Virginia",54,.,.,.,0.7631578947
_65-69,Wisconsin,55,.,.,.,0.9047619048
_65-69,Wyoming,56,.,.,.,0.7647058824
_70-74,Alabama,1,60,18,78,0.7692307692
_70-74,Alaska,2,.,.,.,0.85
_70-74,Arizona,4,87,23,110,0.7909090909
_70-74,Arkansas,5,54,17,71,0.7605633803
_70-74,California,6,264,74,338,0.7810650888
_70-74,Colorado,8,.,.,.,0.775
_70-74,Connecticut,9,.,.,.,0.9375
_70-74,Delaware,10,.,.,.,0.78125
_70-74,"District of Columbia",11,.,.,.,0.5
_70-74,Florida,12,230,62,292,0.7876712329
_70-74,Georgia,13,105,33,138,0.7608695652
_70-74,Hawaii,15,.,.,.,0.8
_70-74,Idaho,16,.,.,.,0.8
_70-74,Illinois,17,213,33,246,0.8658536585
_70-74,Indiana,18,113,17,130,0.8692307692
_70-74,Iowa,19,.,.,.,0.9072164948
_70-74,Kansas,20,.,.,.,0.8888888889
_70-74,Kentucky,21,54,15,69,0.7826086957
_70-74,Louisiana,22,55,14,69,0.7971014493
_70-74,Maine,23,.,.,.,0.9130434783
_70-74,Maryland,24,.,.,.,0.9054054054
_70-74,Massachusetts,25,102,23,125,0.816
_70-74,Michigan,26,111,20,131,0.8473282443
_70-74,Minnesota,27,.,.,.,0.868852459
_70-74,Mississippi,28,55,14,69,0.7971014493
_70-74,Missouri,29,87,14,101,0.8613861386
_70-74,Montana,30,.,.,.,0.9444444444
_70-74,Nebraska,31,.,.,.,0.8928571429
_70-74,Nevada,32,.,.,.,0.7586206897
_70-74,"New Hampshire",33,.,.,.,0.8292682927
_70-74,"New Jersey",34,107,25,132,0.8106060606
_70-74,"New Mexico",35,.,.,.,0.7058823529
_70-74,"New York",36,190,32,222,0.8558558559
_70-74,"North Carolina",37,129,26,155,0.8322580645
_70-74,"North Dakota",38,.,.,.,0.9444444444
_70-74,Ohio,39,178,38,216,0.8240740741
_70-74,Oklahoma,40,61,17,78,0.7820512821
_70-74,Oregon,41,.,.,.,0.8620689655
_70-74,Pennsylvania,42,185,34,219,0.8447488584
_70-74,"Rhode Island",44,.,.,.,0.6428571429
_70-74,"South Carolina",45,123,31,154,0.7987012987
_70-74,"South Dakota",46,.,.,.,0.96
_70-74,Tennessee,47,108,22,130,0.8307692308
_70-74,Texas,48,291,58,349,0.8338108883
_70-74,Utah,49,.,.,.,0.8837209302
_70-74,Vermont,50,.,.,.,0.9411764706
_70-74,Virginia,51,118,30,148,0.7972972973
_70-74,Washington,53,84,15,99,0.8484848485
_70-74,"West Virginia",54,.,.,.,0.8
_70-74,Wisconsin,55,.,.,.,0.9230769231
_70-74,Wyoming,56,.,.,.,0.8235294118
_75-79,Alabama,1,47,12,59,0.7966101695
_75-79,Alaska,2,.,.,.,0.875
_75-79,Arizona,4,64,14,78,0.8205128205
_75-79,Arkansas,5,.,.,.,0.8113207547
_75-79,California,6,198,54,252,0.7857142857
_75-79,Colorado,8,.,.,.,0.935483871
_75-79,Connecticut,9,.,.,.,0.9090909091
_75-79,Delaware,10,.,.,.,0.8947368421
_75-79,"District of Columbia",11,.,0,.,1
_75-79,Florida,12,193,60,253,0.7628458498
_75-79,Georgia,13,71,17,88,0.8068181818
_75-79,Hawaii,15,.,.,.,0.8888888889
_75-79,Idaho,16,.,.,.,0.8095238095
_75-79,Illinois,17,142,28,170,0.8352941176
_75-79,Indiana,18,82,20,102,0.8039215686
_75-79,Iowa,19,42,14,56,0.75
_75-79,Kansas,20,.,.,.,0.8913043478
_75-79,Kentucky,21,37,12,49,0.7551020408
_75-79,Louisiana,22,.,.,.,0.8139534884
_75-79,Maine,23,.,.,.,0.75
_75-79,Maryland,24,.,.,.,0.8571428571
_75-79,Massachusetts,25,66,20,86,0.7674418605
_75-79,Michigan,26,78,17,95,0.8210526316
_75-79,Minnesota,27,.,.,.,0.8333333333
_75-79,Mississippi,28,38,13,51,0.7450980392
_75-79,Missouri,29,59,12,71,0.8309859155
_75-79,Montana,30,.,.,.,0.7894736842
_75-79,Nebraska,31,.,.,.,0.8484848485
_75-79,Nevada,32,.,.,.,0.8125
_75-79,"New Hampshire",33,.,.,.,0.8571428571
_75-79,"New Jersey",34,107,17,124,0.8629032258
_75-79,"New Mexico",35,.,.,.,0.8571428571
_75-79,"New York",36,145,31,176,0.8238636364
_75-79,"North Carolina",37,98,23,121,0.8099173554
_75-79,"North Dakota",38,.,0,.,1
_75-79,Ohio,39,111,24,135,0.8222222222
_75-79,Oklahoma,40,.,.,.,0.8076923077
_75-79,Oregon,41,.,.,.,0.8205128205
_75-79,Pennsylvania,42,122,18,140,0.8714285714
_75-79,"Rhode Island",44,.,0,.,1
_75-79,"South Carolina",45,63,23,86,0.7325581395
_75-79,"South Dakota",46,18,0,18,1
_75-79,Tennessee,47,61,13,74,0.8243243243
_75-79,Texas,48,180,46,226,0.796460177
_75-79,Utah,49,.,.,.,0.7037037037
_75-79,Vermont,50,.,.,.,0.9411764706
_75-79,Virginia,51,81,19,100,0.81
_75-79,Washington,53,.,.,.,0.8360655738
_75-79,"West Virginia",54,.,.,.,0.8260869565
_75-79,Wisconsin,55,.,.,.,0.8857142857
_75-79,Wyoming,56,.,0,.,1
_80-84,Alabama,1,24,12,36,0.6666666667
_80-84,Alaska,2,.,.,.,0.7777777778
_80-84,Arizona,4,.,.,.,0.7804878049
_80-84,Arkansas,5,.,.,.,0.7419354839
_80-84,California,6,126,39,165,0.7636363636
_80-84,Colorado,8,.,.,.,0.7777777778
_80-84,Connecticut,9,.,.,.,0.8857142857
