age_group,state_name,state_fips,bene_yes,bene_no,total_bene,bene_yes_pct,bene_yes_pct_lcl,bene_yes_pct_ucl,age_adjusted_pct,age_adjusted_pct_lcl,age_adjusted_pct_ucl
_60_64,Hawaii,15,8,30,38,29.7954938283104,13.1894005384114,46.4015871182093,.,.,.
_65_69,Hawaii,15,12,21,33,.,.,.,.,.,.
_70_74,Hawaii,15,18,43,61,44.0924100651463,18.9575747401722,69.2272453901203,.,.,.
_75_79,Hawaii,15,8,21,29,.,.,.,.,.,.
_50_54,Idaho,16,2,19,21,.,.,.,.,.,.
_55_59,Idaho,16,6,17,23,33.2093136792135,20.4689859195268,45.9496414389001,.,.,.
_60_64,Idaho,16,10,28,38,.,.,.,.,.,.
_65_69,Idaho,16,5,18,23,.,.,.,.,.,.
_70_74,Idaho,16,10,15,25,45.2640993063713,21.2781950728628,69.2500035398797,.,.,.
_75_79,Idaho,16,4,14,18,20.7205863208617,12.7886983609738,28.6524742807496,.,.,.
_50_54,Illinois,17,3,10,13,.,.,.,.,.,.
_55_59,Illinois,17,5,16,21,.,.,.,.,.,.
_60_64,Illinois,17,9,20,29,.,.,.,.,.,.
_65_69,Illinois,17,5,22,27,.,.,.,.,.,.
_70_74,Illinois,17,10,12,22,.,.,.,.,.,.
_75_79,Illinois,17,1,14,15,.,.,.,.,.,.
_50_54,Indiana,18,11,50,61,.,.,.,.,.,.
_55_59,Indiana,18,19,69,88,22.1196582211965,13.3696521391099,30.8696643032831,.,.,.
_60_64,Indiana,18,36,84,120,30.9472398140389,20.659684049602,41.2347955784758,.,.,.
_65_69,Indiana,18,37,86,123,24.629115896048,16.3935790867881,32.8646527053079,.,.,.
_70_74,Indiana,18,40,52,92,46.2865082701745,33.8898663271292,58.6831502132197,.,.,.
_75_79,Indiana,18,17,25,42,50.7703557824265,32.7239537184615,68.8167578463915,.,.,.
_50_54,Iowa,19,6,24,30,23.7674131504229,8.87431090554609,38.6605153952996,.,.,.
_55_59,Iowa,19,17,58,75,25.0012577352985,12.2534606070706,37.7490548635265,.,.,.
_60_64,Iowa,19,24,54,78,33.2643958450244,17.8997134315918,48.6290782584571,.,.,.
_65_69,Iowa,19,27,51,78,33.9166912600049,20.718247702541,47.1151348174687,.,.,.
_70_74,Iowa,19,27,52,79,33.5275900957746,20.60419988937,46.4509803021791,.,.,.
_75_79,Iowa,19,7,20,27,.,.,.,.,.,.
_50_54,Kansas,20,4,42,46,.,.,.,.,.,.
_55_59,Kansas,20,16,53,69,30.3269737848837,16.8879318608692,43.7660157088982,.,.,.
_60_64,Kansas,20,35,72,107,36.8736671141136,27.5310938446202,46.216240383607,.,.,.
