income_group,state_name,state_fips,bene_yes,bene_no,total_bene,bene_yes_pct,bene_yes_pct_lcl,bene_yes_pct_ucl,age_adjusted_pct,age_adjusted_pct_lcl,age_adjusted_pct_ucl
"$50,000 to < $75,000",Vermont,50,17,19,36,35.4246884555278,18.2684368639604,52.5809400470952,34.3644416761814,17.1218736642746,51.6070096880882
"$75,000 to < $100,000",Vermont,50,8,7,15,65.8825532785683,57.4671664447187,74.2979401124178,55.0568475424233,43.7804983508313,66.3331967340154
"$100,000 to < $200,000",Vermont,50,5,19,24,.,.,.,.,.,.
"$200,000 or more",Vermont,50,2,4,6,.,.,.,.,.,.
"Don’t know/Not sure/Missing",Vermont,50,12,19,31,47.5128536600361,28.0174070173381,67.0083003027341,39.4494913010054,34.9125258607251,43.9864567412857
"Less than $15,000",Virginia,51,11,22,33,.,.,.,.,.,.
"$15,000 to < $25,000",Virginia,51,27,40,67,41.04380071505,30.1792735932455,51.9083278368545,39.3236146354722,25.0413577597616,53.6058715111829
"$25,000 to < $35,000",Virginia,51,13,31,44,34.6160653289198,22.3286292013856,46.9035014564541,28.0786261141934,14.8865188403941,41.2707333879927
"$35,000 to < $50,000",Virginia,51,10,21,31,30.4041297220677,21.8297087388612,38.9785507052742,30.425272013584,17.5230958991944,43.3274481279736
"$50,000 to < $75,000",Virginia,51,17,34,51,34.3175714934402,17.3718326640554,51.263310322825,.,.,.
"$75,000 to < $100,000",Virginia,51,10,25,35,21.7927739186567,8.6237500061283,34.9617978311851,21.700648149496,13.2318911266985,30.1694051722935
"$100,000 to < $200,000",Virginia,51,10,29,39,28.2718898237749,14.5049473258318,42.0388323217181,33.4800027786294,28.9126939741368,38.047311583122
"$200,000 or more",Virginia,51,1,8,9,3.40628139101913,1.48288226111669,5.32968052092158,.,.,.
"Don’t know/Not sure/Missing",Virginia,51,24,47,71,20.5691902764113,12.5655355309865,28.5728450218361,.,.,.
"Less than $15,000",Washington,53,22,66,88,21.9321264384191,11.9199442456849,31.9443086311533,22.0831456375264,9.92605622585317,34.2402350491996
