education_group,bene_yes,bene_no,total_bene,bene_yes_pct,bene_yes_pct_lcl,bene_yes_pct_ucl,age_adjusted_pct,age_adjusted_pct_lcl,age_adjusted_pct_ucl
"Did not graduate High School",455,1217,1672,23.724373497795,21.2619519989096,26.1867949966804,23.8788563523862,20.4454727446557,27.3122399601168
"Graduated High School",1691,4058,5749,29.579882208869,27.592610777486,31.5671536402521,28.6613165828353,26.1826622678599,31.1399708978107
"Attended College or Technical School",1667,3898,5565,28.8210616644339,26.5215632734914,31.1205600553765,27.4124330219117,24.1299234139473,30.6949426298761
"Graduated from College or Technical School",986,2204,3190,29.314156239547,26.2825569120455,32.3457555670484,26.9147779941115,23.361026685184,30.4685293030389
"Don’t know/Not sure/Missing",12,18,30,.,.,.,.,.,.
