AGE_GROUP,STATE_NAME,STATE_FIPS,BENE_N,TOTAL_N,PER_100K
_65-69,California,6,2981,700253,425.7032815282476
_65-69,Colorado,8,192,128603,149.29667270592444
_65-69,Connecticut,9,276,70496,391.51157512482985
_65-69,Delaware,10,180,38165,471.63631599633175
_65-69,"District of Columbia",11,377,12957,2909.624141390754
_65-69,Florida,12,2399,509682,470.6856432049788
_65-69,Georgia,13,782,230695,338.97570385140557
_65-69,Hawaii,15,45,28355,158.70216892964203
_65-69,Idaho,16,39,52194,74.72123232555467
_65-69,Illinois,17,756,343270,220.23480059428437
_65-69,Indiana,18,224,190491,117.59085731084407
_65-69,Iowa,19,87,106596,81.6165709782731
_65-69,Kansas,20,81,94019,86.15279890234952
_65-69,Kentucky,21,174,133513,130.32438788732182
_65-69,Louisiana,22,426,123071,346.1416580672945
_65-69,Maine,23,76,39774,191.07959973852266
_65-69,Maryland,24,1031,167342,616.1035484217949
_65-69,Massachusetts,25,746,179211,416.2690906250174
_65-69,Michigan,26,437,268612,162.68818965645616
_65-69,Minnesota,27,101,112303,89.93526441858187
_65-69,Mississippi,28,194,105936,183.12943664099078
_65-69,Missouri,29,263,168928,155.68763023299869
_65-69,Montana,30,24,45658,52.56472031188401
_65-69,Nebraska,31,44,61439,71.6157489542473
_65-69,Nevada,32,168,72707,231.06440920406564
_65-69,"New Hampshire",33,55,46907,117.25328842177073
_65-69,"New Jersey",34,826,213898,386.1653685401453
_65-69,"New Mexico",35,117,61050,191.64619164619165
_65-69,"New York",36,2711,371651,729.4477883821112
_65-69,"North Carolina",37,732,285077,256.7727315777842
_65-69,"North Dakota",38,.,.,37.24548915742427
_65-69,Ohio,39,352,307705,114.39528119465072
_65-69,Oklahoma,40,131,120374,108.82748766344892
_65-69,Oregon,41,145,108702,133.39220989494214
_65-69,Pennsylvania,42,832,337712,246.36376557540152
_65-69,"Rhode Island",44,55,23799,231.10214714903987
_65-69,"South Carolina",45,362,176631,204.94703647717557
_65-69,"South Dakota",46,.,.,29.704440813901677
_65-69,Tennessee,47,309,189965,162.66154291580028
_65-69,Texas,48,1349,563291,239.48545245707814
_65-69,Utah,49,50,52512,95.21633150517977
_65-69,Vermont,50,48,26315,182.40547216416493
_65-69,Virginia,51,513,242705,211.36770977112133
_65-69,Washington,53,280,187600,149.2537313432836
_65-69,"West Virginia",54,53,63899,82.94339504530588
_65-69,Wisconsin,55,166,158155,104.96032373304669
_65-69,Wyoming,56,15,24832,60.40592783505155
_70-74,Alabama,1,161,180871,89.01371695849528
_70-74,Alaska,2,11,24583,44.74636944229752
_70-74,Arizona,4,192,245442,78.22622045126751
_70-74,Arkansas,5,81,118841,68.15829553773528
_70-74,California,6,1881,874657,215.05573041775236
_70-74,Colorado,8,105,154037,68.16544077072392
_70-74,Connecticut,9,168,106208,158.18017475143117
_70-74,Delaware,10,100,48390,206.65426741062203
_70-74,"District of Columbia",11,235,15851,1482.5563055958614
_70-74,Florida,12,1405,702280,200.06265307284843
_70-74,Georgia,13,448,288949,155.0446618607436
_70-74,Hawaii,15,42,37073,113.28999541445256
_70-74,Idaho,16,18,60107,29.946595238491355
_70-74,Illinois,17,464,431310,107.57923535276251
_70-74,Indiana,18,116,232221,49.952416017500575
_70-74,Iowa,19,42,126402,33.227322352494426
_70-74,Kansas,20,65,108464,59.927717952500366
_70-74,Kentucky,21,79,154448,51.14990158499948
_70-74,Louisiana,22,197,142154,138.5821011016222
_70-74,Maine,23,50,53702,93.10640199620126
_70-74,Maryland,24,616,211283,291.55208890445516
_70-74,Massachusetts,25,392,235237,166.64045196971566
_70-74,Michigan,26,257,316660,81.15960336007075
_70-74,Minnesota,27,64,130610,49.000842201975345
_70-74,Mississippi,28,107,119859,89.27156075054856
_70-74,Missouri,29,124,206603,60.01848956694723
_70-74,Montana,30,13,49970,26.015609365619373
_70-74,Nebraska,31,28,73533,38.07814178668081
_70-74,Nevada,32,118,95608,123.42063425654756
_70-74,"New Hampshire",33,30,63446,47.28430476310564
_70-74,"New Jersey",34,587,303903,193.15373655409783
_70-74,"New Mexico",35,70,72617,96.39616067862897
_70-74,"New York",36,1771,503546,351.7057031532372
_70-74,"North Carolina",37,419,361445,115.92358450109975
_70-74,"North Dakota",38,.,.,34.567521892763864
_70-74,Ohio,39,216,371148,58.197807882569755
_70-74,Oklahoma,40,75,143884,52.12532317700369
_70-74,Oregon,41,93,130662,71.17601138816183
_70-74,Pennsylvania,42,465,409011,113.68887389336719
_70-74,"Rhode Island",44,16,31363,51.01552785128974
_70-74,"South Carolina",45,239,225042,106.20239777463763
_70-74,"South Dakota",46,12,36678,32.71716015049894
_70-74,Tennessee,47,176,231239,76.11172855789897
_70-74,Texas,48,814,718061,113.36084260250871
_70-74,Utah,49,32,66225,48.320120800302
_70-74,Vermont,50,30,32010,93.72071227741331
_70-74,Virginia,51,374,303816,123.10082418305817
_70-74,Washington,53,180,233852,76.97175991652841
_70-74,"West Virginia",54,32,76225,41.980977369629386
_70-74,Wisconsin,55,96,184769,51.95676763959322
_70-74,Wyoming,56,.,.,34.08703556414044
_75-79,Alabama,1,57,124210,45.89002495773288
_75-79,Alaska,2,.,.,52.01898693022953
_75-79,Arizona,4,62,170700,36.32103104862332
_75-79,Arkansas,5,18,85528,21.045739406977834
_75-79,California,6,786,641076,122.60636804372648
_75-79,Colorado,8,34,99823,34.06028670747222
_75-79,Connecticut,9,60,85474,70.19678498724758
_75-79,Delaware,10,49,34655,141.39373827730486
_75-79,"District of Columbia",11,93,11639,799.0377180170118
_75-79,Florida,12,722,556837,129.66092411244225
_75-79,Georgia,13,171,207482,82.41678796232927
_75-79,Hawaii,15,14,26783,52.27196355897397
_75-79,Idaho,16,.,.,19.055331920062883
_75-79,Illinois,17,197,322251,61.13247127239326
_75-79,Indiana,18,54,162310,33.26966915162343
_75-79,Iowa,19,19,86609,21.937673913796488
_75-79,Kansas,20,24,74271,32.31409298380256
_75-79,Kentucky,21,36,110862,32.4728040266277
_75-79,Louisiana,22,84,96360,87.17310087173101
_75-79,Maine,23,22,41134,53.48373608207323
_75-79,Maryland,24,252,153636,164.02405686167305
_75-79,Massachusetts,25,170,170096,99.94356128304015
_75-79,Michigan,26,97,252843,38.363727688723834
_75-79,Minnesota,27,26,96510,26.94021344938348
_75-79,Mississippi,28,51,81799,62.3479504639421
_75-79,Missouri,29,59,151102,39.04647191963045
_75-79,Montana,30,.,.,.
_75-79,Nebraska,31,.,.,14.034243554272424
_75-79,Nevada,32,41,68304,60.02576715858515
_75-79,"New Hampshire",33,16,45152,35.43586109142452
_75-79,"New Jersey",34,239,229780,104.01253372791365
_75-79,"New Mexico",35,28,49199,56.91172584808634
_75-79,"New York",36,802,374049,214.410411470155
_75-79,"North Carolina",37,176,271070,64.92787840779135
_75-79,"North Dakota",38,.,.,26.535052804755082
_75-79,Ohio,39,93,249107,37.33335474314251
_75-79,Oklahoma,40,37,102300,36.168132942326494
_75-79,Oregon,41,30,87404,34.323371928058215
_75-79,Pennsylvania,42,194,266705,72.73954369059447
_75-79,"Rhode Island",44,20,22277,89.77869551555416
_75-79,"South Carolina",45,97,154561,62.75839312633847
_75-79,"South Dakota",46,.,.,.
_75-79,Tennessee,47,77,162132,47.49216687637234
_75-79,Texas,48,348,535238,65.01780516331053
_75-79,Utah,49,14,46245,30.273543085738996
_75-79,Vermont,50,.,.,31.319910514541387
_75-79,Virginia,51,144,214667,67.0806411791286
_75-79,Washington,53,74,166971,44.319073372022686
_75-79,"West Virginia",54,17,49643,34.24450577120642
_75-79,Wisconsin,55,33,127851,25.811295961705422
_75-79,Wyoming,56,.,.,28.755463538072235
_80-84,Alabama,1,23,83498,27.54556995377135
_80-84,Alaska,2,.,.,83.41277407054338
_80-84,Arizona,4,32,101678,31.471901492948327
_80-84,Arkansas,5,16,56617,28.260063231891483
_80-84,California,6,351,422674,83.04272323350857
_80-84,Colorado,8,17,59613,28.517269723046986
_80-84,Connecticut,9,36,59949,60.05104338687885
_80-84,Delaware,10,.,.,28.280542986425342
_80-84,"District of Columbia",11,41,7671,534.480511015513
_80-84,Florida,12,283,369625,76.56408522150828
_80-84,Georgia,13,87,130567,66.63245689952285
_80-84,Hawaii,15,.,.,44.12506303580433
_80-84,Idaho,16,.,.,.
_80-84,Illinois,17,85,217131,39.14687446748737
_80-84,Indiana,18,28,109360,25.603511338697878
_80-84,Iowa,19,.,.,14.450635025128047
_80-84,Kansas,20,.,.,15.686582089844899
_80-84,Kentucky,21,14,73848,18.95785938684866
_80-84,Louisiana,22,32,63078,50.73084118076032
_80-84,Maine,23,.,.,17.788529955884446
_80-84,Maryland,24,112,101240,110.62821019359936
_80-84,Massachusetts,25,69,112011,61.601092749819216
_80-84,Michigan,26,43,174819,24.596868761404654
_80-84,Minnesota,27,.,.,14.15508309033774
_80-84,Mississippi,28,21,54442,38.573160427611036
_80-84,Missouri,29,32,99407,32.19089198949772
_80-84,Montana,30,.,.,14.166312508853945
_80-84,Nebraska,31,.,.,.
_80-84,Nevada,32,15,39337,38.13203853878028
_80-84,"New Hampshire",33,.,.,32.00682812333298
_80-84,"New Jersey",34,95,156795,60.58866673044421
_80-84,"New Mexico",35,.,.,32.71823059808926
_80-84,"New York",36,353,260958,135.2708098621234
_80-84,"North Carolina",37,65,167553,38.79369512930237
_80-84,Ohio,39,41,168432,24.34216775909566
_80-84,Oklahoma,40,.,.,13.487591415897374
_80-84,Oregon,41,11,52952,20.773530744825504
_80-84,Pennsylvania,42,75,175798,42.66260139478265
_80-84,"Rhode Island",44,.,.,52.8660977267578
_80-84,"South Carolina",45,41,92655,44.25017538179267
_80-84,"South Dakota",46,.,.,.
_80-84,Tennessee,47,28,101937,27.4679458881466
_80-84,Texas,48,134,344552,38.89108175253663
_80-84,Utah,49,.,.,.
_80-84,Vermont,50,.,.,28.589807733542994
_80-84,Virginia,51,68,140538,48.38549004539697
_80-84,Washington,53,34,108881,31.226752142247037
_80-84,"West Virginia",54,.,.,21.0557978643405
_80-84,Wisconsin,55,15,83819,17.89570383803195
_85+,Alabama,1,11,80668,13.636138245648832
_85+,Alaska,2,.,.,13.952839402818475
_85+,Arizona,4,.,.,.
_85+,Arkansas,5,.,.,.
_85+,California,6,136,465981,29.185739332719574
_85+,Colorado,8,.,.,14.876524843796489
_85+,Connecticut,9,20,78609,25.442379371318804
_85+,Delaware,10,.,.,28.695776938160602
_85+,"District of Columbia",11,.,.,108.43634786380395
_85+,Florida,12,185,392486,47.13543922585774
_85+,Georgia,13,45,125247,35.929004287527846
_85+,Hawaii,15,.,.,14.354753815972057
_85+,Idaho,16,.,.,.
_85+,Illinois,17,52,242503,21.443033694428525
_85+,Indiana,18,14,118037,11.86068775045113
_85+,Iowa,19,.,.,10.811249104693434
_85+,Kansas,20,.,.,.
_85+,Kentucky,21,.,.,12.444346118746717
_85+,Louisiana,22,.,.,12.606564868655353
_85+,Maine,23,.,.,12.642624608868802
_85+,Maryland,24,53,110822,47.82443919077439
_85+,Massachusetts,25,35,133728,26.17252931323283
_85+,Michigan,26,23,194716,11.812075022083445
_85+,Minnesota,27,.,.,.
_85+,Mississippi,28,.,.,19.227071716977505
_85+,Missouri,29,16,103461,15.46476450063309
_85+,Montana,30,.,.,.
_85+,Nebraska,31,.,.,.
_85+,Nevada,32,14,31980,43.77736085053158
_85+,"New Hampshire",33,.,.,16.270745200130165
_85+,"New Jersey",34,50,186346,26.831807497880288
_85+,"New Mexico",35,.,.,.
_85+,"New York",36,216,328337,65.78606736371472
_85+,"North Carolina",37,38,168972,22.488933077669675
_85+,Ohio,39,22,181717,12.106737399362745
_85+,Oklahoma,40,16,65909,24.275895552959383
_85+,Oregon,41,.,.,.
_85+,Pennsylvania,42,46,214061,21.48920167615773
_85+,"Rhode Island",44,.,.,.
_85+,"South Carolina",45,20,86982,22.99326297394863
_85+,Tennessee,47,13,100429,12.944468231287777
_85+,Texas,48,94,347256,27.0693666920082
_85+,Utah,49,.,.,19.3980149364715
_85+,Vermont,50,.,.,13.042911177774878
_85+,Virginia,51,47,146286,32.128843498352545
_85+,Washington,53,20,111306,17.968483280326307
_85+,"West Virginia",54,.,.,.
_85+,Wisconsin,55,.,.,.
