RACE_NAME,BENE_N,TOTAL_N,PER_100K
Unknown,1505,735388,204.65386979390473
"Non-Hispanic White",51031,32003930,159.45229226535616
"Black or African-American",47111,4330893,1087.7895159266232
Other,808,332663,242.88844867027592
"Asian/Pacific Islander",1335,1209171,110.40622046013343
Hispanic,14176,2987102,474.5736837911795
"American Indian / Alaska Native",651,216860,300.1936733376372
