Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,States and Puerto Rico,States and Puerto Rico Code,Sex,Sex Code,Deaths,Population,Crude Rate
,2000,2000,Breast,26000,Illinois,17,Male,M,22,6088884,0.4
,2000,2000,Breast,26000,Indiana,18,Female,F,950,3103169,30.6
,2000,2000,Breast,26000,Indiana,18,Male,M,27,2988697,0.9
,2000,2000,Breast,26000,Iowa,19,Female,F,451,1491775,30.2
,2000,2000,Breast,26000,Kansas,20,Female,F,434,1362500,31.9
,2000,2000,Breast,26000,Kentucky,21,Female,F,598,2069716,28.9
,2000,2000,Breast,26000,Louisiana,22,Female,F,725,2306978,31.4
,2000,2000,Breast,26000,Maine,23,Female,F,197,655545,30.1
,2000,2000,Breast,26000,Maryland,24,Female,F,795,2746031,29
,2000,2000,Breast,26000,Massachusetts,25,Female,F,1059,3296245,32.1
,2000,2000,Breast,26000,Michigan,26,Female,F,1493,5072182,29.4
,2000,2000,Breast,26000,Michigan,26,Male,M,18,4880268,0.4
,2000,2000,Breast,26000,Minnesota,27,Female,F,733,2490622,29.4
,2000,2000,Breast,26000,Mississippi,28,Female,F,463,1472553,31.4
,2000,2000,Breast,26000,Missouri,29,Female,F,925,2879787,32.1
,2000,2000,Breast,26000,Montana,30,Female,F,131,453425,28.9
,2000,2000,Breast,26000,Nebraska,31,Female,F,226,868980,26
,2000,2000,Breast,26000,Nevada,32,Female,F,257,990315,26
,2000,2000,Breast,26000,New Hampshire,33,Female,F,181,630111,28.7
,2000,2000,Breast,26000,New Jersey,34,Female,F,1567,4340112,36.1
,2000,2000,Breast,26000,New Jersey,34,Male,M,17,4090509,0.4
,2000,2000,Breast,26000,New Mexico,35,Female,F,241,925624,26
,2000,2000,Breast,26000,New York,36,Female,F,3093,9842061,31.4
,2000,2000,Breast,26000,New York,36,Male,M,38,9159719,0.4
,2000,2000,Breast,26000,North Carolina,37,Female,F,1075,4119034,26.1
,2000,2000,Breast,26000,North Dakota,38,Female,F,97,321555,30.2
,2000,2000,Breast,26000,Ohio,39,Female,F,1957,5845425,33.5
