Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,States and Puerto Rico,States and Puerto Rico Code,Deaths,Population,Crude Rate
,2000,2000,Breast,26000,Oklahoma,40,521,3454365,15.1
,2000,2000,Breast,26000,Oregon,41,479,3429708,14
,2000,2000,Breast,26000,Pennsylvania,42,2302,12284173,18.7
,2000,2000,Breast,26000,Rhode Island,44,187,1050268,17.8
,2000,2000,Breast,26000,South Carolina,45,643,4024223,16
,2000,2000,Breast,26000,South Dakota,46,130,755844,17.2
,2000,2000,Breast,26000,Tennessee,47,870,5703719,15.3
,2000,2000,Breast,26000,Texas,48,2483,20944499,11.9
,2000,2000,Breast,26000,Utah,49,199,2244502,8.9
,2000,2000,Breast,26000,Vermont,50,106,609618,17.4
,2000,2000,Breast,26000,Virginia,51,1112,7105817,15.6
,2000,2000,Breast,26000,Washington,53,764,5910512,12.9
,2000,2000,Breast,26000,West Virginia,54,330,1807021,18.3
,2000,2000,Breast,26000,Wisconsin,55,795,5373999,14.8
,2000,2000,Breast,26000,Wyoming,56,65,494300,13.1
,2001,2001,Breast,26000,Alabama,01,755,4467634,16.9
,2001,2001,Breast,26000,Alaska,02,47,633714,7.4
,2001,2001,Breast,26000,Arizona,04,698,5273477,13.2
,2001,2001,Breast,26000,Arkansas,05,396,2691571,14.7
,2001,2001,Breast,26000,California,06,4235,34479458,12.3
,2001,2001,Breast,26000,Colorado,08,470,4425687,10.6
,2001,2001,Breast,26000,Connecticut,09,598,3432835,17.4
,2001,2001,Breast,26000,Delaware,10,123,795699,15.5
,2001,2001,Breast,26000,District of Columbia,11,129,574504,22.5
,2001,2001,Breast,26000,Florida,12,2591,16356966,15.8
,2001,2001,Breast,26000,Georgia,13,1019,8377038,12.2
,2001,2001,Breast,26000,Hawaii,15,139,1225948,11.3
,2001,2001,Breast,26000,Idaho,16,132,1319962,10
,2001,2001,Breast,26000,Illinois,17,1869,12488445,15
,2001,2001,Breast,26000,Indiana,18,929,6127760,15.2
,2001,2001,Breast,26000,Iowa,19,459,2931997,15.7
,2001,2001,Breast,26000,Kansas,20,355,2702162,13.1
,2001,2001,Breast,26000,Kentucky,21,642,4068132,15.8
,2001,2001,Breast,26000,Louisiana,22,736,4477875,16.4
,2001,2001,Breast,26000,Maine,23,183,1285692,14.2
,2001,2001,Breast,26000,Maryland,24,828,5374691,15.4
,2001,2001,Breast,26000,Massachusetts,25,1057,6397634,16.5
,2001,2001,Breast,26000,Michigan,26,1485,9991120,14.9
,2001,2001,Breast,26000,Minnesota,27,697,4982796,14
,2001,2001,Breast,26000,Mississippi,28,445,2852994,15.6
,2001,2001,Breast,26000,Missouri,29,932,5641142,16.5
,2001,2001,Breast,26000,Montana,30,124,906961,13.7
,2001,2001,Breast,26000,Nebraska,31,257,1719836,14.9
,2001,2001,Breast,26000,Nevada,32,259,2098399,12.3
,2001,2001,Breast,26000,New Hampshire,33,187,1255517,14.9
,2001,2001,Breast,26000,New Jersey,34,1484,8492671,17.5
,2001,2001,Breast,26000,New Mexico,35,185,1831690,10.1
,2001,2001,Breast,26000,New York,36,3168,19082838,16.6
,2001,2001,Breast,26000,North Carolina,37,1171,8210122,14.3
,2001,2001,Breast,26000,North Dakota,38,106,639062,16.6
,2001,2001,Breast,26000,Ohio,39,1961,11387404,17.2
,2001,2001,Breast,26000,Oklahoma,40,543,3467100,15.7
,2001,2001,Breast,26000,Oregon,41,527,3467937,15.2
,2001,2001,Breast,26000,Pennsylvania,42,2334,12298970,19
,2001,2001,Breast,26000,Rhode Island,44,160,1057142,15.1
,2001,2001,Breast,26000,South Carolina,45,597,4064995,14.7
